"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-12","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057725","7.9.1.1","1124.2","","","","1"
"2025-01","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057725","7.9.1.1","1117.0","","","","1"
"2024-08","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057934","7.9.1.2","1120.7","","","","1"
"2024-09","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057934","7.9.1.2","1105.3","","","","1"
"2024-10","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057934","7.9.1.2","1111.6","","","","1"
"2024-11","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057934","7.9.1.2","1134.0","","","","1"
"2024-12","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057934","7.9.1.2","1129.9","","","","1"
"2025-01","Ontario","2021A000235","Wholesale and retail trade [41, 44-45]","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2057934","7.9.1.2","1106.8","","","","1"
"2024-08","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057726","7.10.1.1","424.5","","","","1"
"2024-09","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057726","7.10.1.1","423.8","","","","1"
"2024-10","Ontario","2021A000235","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2057726","7.10.1.1","413.5","","","","1"
