"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-09","Ontario","2021A000235","Population","Total - Gender","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066103","7.1.1.4.1.2","1163.6","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066103","7.1.1.4.1.2","1167.4","","","","1"
"2024-11","Ontario","2021A000235","Population","Total - Gender","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066103","7.1.1.4.1.2","1169.8","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066103","7.1.1.4.1.2","1171.8","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066103","7.1.1.4.1.2","1173.0","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064051","7.1.1.5.1.1","11421.6","","","","1"
"2024-09","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064051","7.1.1.5.1.1","11452.4","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064051","7.1.1.5.1.1","11477.7","","","","1"
"2024-11","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064051","7.1.1.5.1.1","11499.0","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064051","7.1.1.5.1.1","11520.2","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064051","7.1.1.5.1.1","11540.7","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066130","7.1.1.5.1.2","11421.6","","","","1"
"2024-09","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066130","7.1.1.5.1.2","11452.4","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066130","7.1.1.5.1.2","11477.7","","","","1"
"2024-11","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066130","7.1.1.5.1.2","11499.0","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066130","7.1.1.5.1.2","11520.2","","","","1"
"2025-01","Ontario","2021A000235","Population","Total - Gender","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066130","7.1.1.5.1.2","11540.7","","","","1"
"2024-08","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064078","7.1.1.6.1.1","6534.4","","","","1"
"2024-09","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064078","7.1.1.6.1.1","6555.4","","","","1"
"2024-10","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064078","7.1.1.6.1.1","6573.1","","","","1"
"2024-11","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064078","7.1.1.6.1.1","6587.4","","","","1"
"2024-12","Ontario","2021A000235","Population","Total - Gender","25 to 54 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064078","7.1.1.6.1.1","6601.4","","","","1"
