"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Ontario","2021A000235","Employment","Men+","15 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887653","7.3.2.1.3.1","14.7","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","15 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887654","7.3.2.1.4.1","28.5","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","15 to 64 years","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v21581335","7.3.2.8.1.1","4108.7","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","15 to 64 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v21581336","7.3.2.8.1.2","4032.2","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","15 to 64 years","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887655","7.3.2.8.2.1","21.7","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","15 to 64 years","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887656","7.3.2.8.3.1","15.3","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","15 to 64 years","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887657","7.3.2.8.4.1","28.1","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","15 to 19 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066087","7.3.2.3.1.2","125.0","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","20 to 24 years","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066114","7.3.2.4.1.2","374.5","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","25 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2064062","7.3.2.5.1.1","3831.2","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","25 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066141","7.3.2.5.1.2","3784.4","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","25 years and over","Standard error of estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887661","7.3.2.5.2.1","18.2","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","25 years and over","Standard error of month-to-month change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887662","7.3.2.5.3.1","11.8","","","","1"
"2025-01","Ontario","2021A000235","Employment","Men+","25 years and over","Standard error of year-over-year change","Seasonally adjusted","Persons in thousands","428","thousands","3","v101887663","7.3.2.5.4.1","23.1","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","15 years and over","Estimate","Seasonally adjusted","Persons in thousands","428","thousands","3","v2063963","7.3.3.1.1.1","3869.6","","","","1"
"2025-01","Ontario","2021A000235","Employment","Women+","15 years and over","Estimate","Unadjusted","Persons in thousands","428","thousands","3","v2066042","7.3.3.1.1.2","3854.7","","","","1"
